round, random_action, action, bestAction, profit, whitenoise, estimated_profit
83, 0.140020, 0.525135, 0.357498, 0.819772, 0.291700, 0.605447
84, 0.217343, 0.637462, 0.347832, 0.842011, 0.291600, 0.605350
85, 0.329510, 0.681871, 0.333811, 0.806264, 0.291500, 0.605603
86, 0.797919, 0.392290, 0.275260, 0.616519, 0.291400, 0.607980
87, 0.635600, 0.949035, 0.295550, 0.240430, 0.291300, 0.607875
88, 0.028058, 0.449214, 0.371493, 0.548779, 0.291200, 0.609652
89, 0.205339, 0.961818, 0.349333, 0.840233, 0.291100, 0.602771
90, 0.615026, 0.725226, 0.298122, 0.812379, 0.000000, 0.605278
91, 0.913019, 0.263452, 0.260873, 0.407927, 0.290900, 0.610570
92, 0.309955, 0.911514, 0.336256, 0.200498, 0.290800, 0.608838
93, 0.502009, 0.688312, 0.312249, 0.753370, 0.290700, 0.606171
94, 0.604922, 0.813807, 0.299385, 0.590266, 0.290600, 0.606712
95, 0.412571, 0.795949, 0.323429, 0.532741, 0.290500, 0.607485
96, 0.270756, 0.510670, 0.341156, 0.666462, 0.290400, 0.607850
97, 0.877356, 0.930195, 0.265331, 0.673503, 0.290300, 0.604539
98, 0.312334, 0.388984, 0.335958, 0.435881, 0.290200, 0.611565
99, 0.367667, 1.000000, 0.329042, 0.573055, 0.290100, 0.604414
100, 0.240419, 0.725418, 0.344948, 0.714233, 0.000000, 0.606337
101, 0.447677, 1.000000, 0.319040, 0.632984, 0.289900, 0.603943
102, 0.615969, 0.975421, 0.298004, 0.488914, 0.289800, 0.605438
103, 0.277131, 0.613811, 0.340359, 0.591514, 0.289700, 0.608591
104, 0.054644, 1.000000, 0.368170, 0.602391, 0.289600, 0.604183
105, 0.302965, 0.318581, 0.337129, 0.612789, 0.289500, 0.606064
106, 0.178383, 0.559076, 0.352702, 0.735596, 0.289400, 0.606860
107, 0.277258, 0.876321, 0.340343, 0.780638, 0.289300, 0.604242
108, 0.191977, 1.000000, 0.351003, 0.602285, 0.289200, 0.604184
109, 0.995755, 0.626814, 0.250531, 0.811931, 0.289100, 0.605750
110, 0.267642, 0.724007, 0.341545, 0.335596, 0.000000, 0.610439
111, 0.969353, 0.736539, 0.253831, 0.772924, 0.288900, 0.605621
112, 0.932803, 0.911747, 0.258400, 0.157392, 0.288800, 0.609203
113, 0.118597, 0.935458, 0.360175, 0.153011, 0.288700, 0.608831
114, 0.538711, 0.728940, 0.307661, 0.864719, 0.288600, 0.604690
115, 0.783366, 0.699516, 0.277079, 0.619221, 0.288500, 0.607601
116, 0.790199, 0.190903, 0.276225, 0.291896, 0.288400, 0.611282
117, 0.815816, 0.489582, 0.273023, 0.502081, 0.288300, 0.610429
118, 0.011188, 0.464109, 0.373602, 0.485754, 0.288200, 0.610740
119, 0.624131, 0.295152, 0.296984, 0.589938, 0.288100, 0.605759
120, 0.554506, 0.725721, 0.305687, 0.559064, 0.000000, 0.608009
121, 0.611761, 0.846533, 0.298530, 0.530796, 0.287900, 0.606869
122, 0.680342, 0.860538, 0.289957, 0.478433, 0.287800, 0.607163
123, 0.230000, 0.560908, 0.346250, 0.559899, 0.287700, 0.609310
124, 0.230173, 0.206984, 0.346228, 0.406384, 0.287600, 0.608106
125, 0.559984, 0.482624, 0.305002, 0.725778, 0.287500, 0.606819
126, 0.998686, 0.971360, 0.250164, 0.402545, 0.287400, 0.606195
127, 0.740809, 1.000000, 0.282399, 0.001095, 0.287300, 0.582734
128, 0.370928, 0.647269, 0.328634, 0.520325, 0.287200, 0.584380
129, 0.916401, 0.524493, 0.260450, 0.690620, 0.287100, 0.583816
130, 0.816362, 0.723756, 0.272955, 0.383643, 0.000000, 0.584509
131, 0.340805, 0.618643, 0.332399, 0.487878, 0.286900, 0.584904
132, 0.914880, 0.318473, 0.260640, 0.536693, 0.286800, 0.585265
133, 0.830003, 0.851968, 0.271250, 0.270631, 0.286700, 0.583524
134, 0.234545, 0.652719, 0.345682, 0.470262, 0.286600, 0.584700
135, 0.656976, 1.000000, 0.292878, 0.637879, 0.286500, 0.579628
136, 0.735928, 0.545349, 0.283009, 0.569129, 0.286400, 0.584817
137, 0.651136, 0.561828, 0.293608, 0.533931, 0.286300, 0.585012
138, 0.328176, 0.754488, 0.333978, 0.528071, 0.286200, 0.583198
139, 0.186785, 0.722766, 0.351652, 0.738602, 0.286100, 0.582129
140, 0.452807, 0.724196, 0.318399, 0.823666, 0.000000, 0.581543
141, 0.017209, 0.605220, 0.372849, 0.674191, 0.285900, 0.583532
142, 0.726681, 0.774868, 0.284165, 0.925357, 0.285800, 0.580466
143, 0.292957, 0.916907, 0.338380, 0.335821, 0.285700, 0.582264
144, 0.918117, 0.624350, 0.260235, 0.758764, 0.285600, 0.582737
145, 0.328692, 0.770422, 0.333913, 0.347357, 0.285500, 0.584159
146, 0.226388, 0.500659, 0.346702, 0.696746, 0.285400, 0.583827
147, 0.571398, 1.000000, 0.303575, 0.644677, 0.285300, 0.579595
