leaderAction, followerAction, leaderProfit, followerProfit, leaderEstimatedProfit, followerEstimatedProfit, price
0.000000, 0.000000, 0.000000, 0.000000, 0.062776, 0.262356, 3.000000
0.000000, 0.010000, 0.000000, 0.024833, 0.062776, 0.262356, 2.990000
0.000000, 0.020000, 0.000000, 0.049333, 0.062776, 0.262356, 2.980000
0.000000, 0.030000, 0.000000, 0.073500, 0.062776, 0.262356, 2.970000
0.000000, 0.040000, 0.000000, 0.097333, 0.062776, 0.262356, 2.960000
0.000000, 0.050000, 0.000000, 0.120833, 0.062776, 0.262356, 2.950000
0.000000, 0.060000, 0.000000, 0.144000, 0.062776, 0.262356, 2.940000
0.000000, 0.070000, 0.000000, 0.166833, 0.062776, 0.262356, 2.930000
0.000000, 0.080000, 0.000000, 0.189333, 0.062776, 0.262356, 2.920000
0.000000, 0.090000, 0.000000, 0.211500, 0.062776, 0.262356, 2.910000
0.000000, 0.100000, 0.000000, 0.233333, 0.062776, 0.262356, 2.900000
0.000000, 0.110000, 0.000000, 0.254833, 0.062776, 0.262356, 2.890000
0.000000, 0.120000, 0.000000, 0.276000, 0.062776, 0.262356, 2.880000
0.000000, 0.130000, 0.000000, 0.296833, 0.062776, 0.262356, 2.870000
0.000000, 0.140000, 0.000000, 0.317333, 0.062776, 0.262356, 2.860000
0.000000, 0.150000, 0.000000, 0.337500, 0.062776, 0.262356, 2.850000
0.000000, 0.160000, 0.000000, 0.357333, 0.062776, 0.262356, 2.840000
0.000000, 0.170000, 0.000000, 0.376833, 0.062776, 0.262356, 2.830000
0.000000, 0.180000, 0.000000, 0.396000, 0.062776, 0.262356, 2.820000
0.000000, 0.190000, 0.000000, 0.414833, 0.062776, 0.262356, 2.810000
0.000000, 0.200000, 0.000000, 0.433333, 0.062776, 0.262356, 2.800000
0.000000, 0.210000, 0.000000, 0.451500, 0.062776, 0.262356, 2.790000
0.000000, 0.220000, 0.000000, 0.469333, 0.062776, 0.262356, 2.780000
0.000000, 0.230000, 0.000000, 0.486833, 0.062776, 0.262356, 2.770000
0.000000, 0.240000, 0.000000, 0.504000, 0.062776, 0.262356, 2.760000
0.000000, 0.250000, 0.000000, 0.520833, 0.062776, 0.262356, 2.750000
0.000000, 0.260000, 0.000000, 0.537333, 0.062776, 0.262356, 2.740000
0.000000, 0.270000, 0.000000, 0.553500, 0.062776, 0.262356, 2.730000
0.000000, 0.280000, 0.000000, 0.569333, 0.062776, 0.262356, 2.720000
0.000000, 0.290000, 0.000000, 0.584833, 0.062776, 0.262356, 2.710000
0.000000, 0.300000, 0.000000, 0.600000, 0.062776, 0.262356, 2.700000
0.000000, 0.310000, 0.000000, 0.614833, 0.062776, 0.262356, 2.690000
0.000000, 0.320000, 0.000000, 0.629333, 0.062776, 0.262356, 2.680000
0.000000, 0.330000, 0.000000, 0.643500, 0.062776, 0.262356, 2.670000
0.000000, 0.340000, 0.000000, 0.657333, 0.062776, 0.262356, 2.660000
0.000000, 0.350000, 0.000000, 0.670833, 0.062776, 0.262356, 2.650000
