round, random_action, action, bestAction, profit, whitenoise, estimated_profit
31942, 0.383888, 0.602902, 0.327014, 0.421720, 0.108348, 0.396983
31943, 0.282530, 0.705939, 0.339684, 0.708430, 0.108342, 0.725858
31944, 0.822698, 0.843200, 0.272163, 0.724499, 0.108336, 0.740097
31945, 0.916340, 0.540328, 0.260457, 0.493791, 0.108330, 0.495834
31946, 0.093980, 0.510803, 0.363252, 0.452084, 0.108324, 0.438681
31947, 0.319303, 0.560286, 0.335087, 0.833635, 0.108318, 0.817180
31948, 0.780316, 0.810831, 0.277461, 0.715582, 0.108312, 0.729982
31949, 0.015583, 0.692957, 0.373052, 0.481472, 0.108306, 0.480391
31950, 0.110499, 0.751811, 0.361188, 0.927732, 0.000000, 0.870085
31951, 0.903878, 0.843559, 0.262015, 0.845235, 0.108294, 0.819180
31952, 0.794645, 0.497695, 0.275669, 0.456524, 0.108288, 0.441494
31953, 0.249178, 0.458582, 0.343853, 0.492284, 0.108282, 0.487562
31954, 0.526009, 0.878339, 0.309249, 0.727662, 0.108276, 0.743164
31955, 0.701624, 0.659897, 0.287297, 0.634709, 0.108270, 0.658617
31956, 0.934573, 0.579485, 0.258178, 0.550224, 0.108264, 0.569946
31957, 0.780389, 0.512920, 0.277451, 0.444354, 0.108258, 0.429861
31958, 0.879125, 0.654680, 0.265109, 0.496603, 0.108252, 0.494353
31959, 0.676759, 0.868431, 0.290405, 0.277908, 0.108246, 0.268555
31960, 0.552773, 0.628718, 0.305903, 0.558409, 0.000000, 0.573336
31961, 0.977704, 0.690975, 0.252787, 0.613400, 0.108234, 0.631645
31962, 0.490499, 0.509744, 0.313688, 0.425979, 0.108228, 0.406958
31963, 0.395935, 0.613546, 0.325508, 0.655681, 0.108222, 0.682063
31964, 0.384569, 0.757919, 0.326929, 0.687323, 0.108216, 0.703703
31965, 0.765595, 0.756340, 0.279301, 0.695045, 0.108210, 0.710542
31966, 0.572404, 0.666200, 0.303450, 0.500763, 0.108204, 0.500126
31967, 0.030115, 0.671504, 0.371236, 0.606921, 0.108198, 0.625923
31968, 0.557467, 0.722008, 0.305317, 0.918075, 0.108192, 0.864364
