round, random_action, action, bestAction, profit, whitenoise, estimated_profit
83, 0.473602, 0.394483, 0.315800, 0.601007, 0.297510, 0.489847
84, 0.866378, 0.229594, 0.266703, 0.395516, 0.297480, 0.487798
85, 0.877616, 0.447084, 0.265298, 0.461783, 0.297450, 0.499335
86, 0.410382, 0.191632, 0.323702, 0.277726, 0.297420, 0.493690
87, 0.266270, 0.429524, 0.341716, 0.619434, 0.297390, 0.491450
88, 0.348918, 0.000000, 0.331385, 0.000000, 0.297360, 0.482297
89, 0.703969, 0.672069, 0.287004, 0.731964, 0.297330, 0.498997
90, 0.203771, 0.326295, 0.349529, 0.446873, 0.000000, 0.493651
91, 0.077360, 0.576349, 0.365330, 0.789373, 0.297270, 0.496034
92, 0.743289, 0.292865, 0.282089, 0.570332, 0.297240, 0.485919
93, 0.313242, 0.677213, 0.335845, 0.509199, 0.297210, 0.502050
94, 0.316660, 0.858619, 0.335417, 0.693707, 0.297180, 0.502233
95, 0.731380, 0.115719, 0.283578, 0.236442, 0.297150, 0.484475
96, 0.345564, 0.762832, 0.331805, 0.472292, 0.297120, 0.503567
97, 0.206214, 0.000000, 0.349223, 0.000000, 0.297090, 0.483016
98, 0.472654, 0.203011, 0.315918, 0.403953, 0.297060, 0.484773
99, 0.394261, 0.072805, 0.325717, 0.144502, 0.297030, 0.485251
100, 0.268534, 0.327322, 0.341433, 0.532197, 0.000000, 0.488594
101, 0.331098, 0.525676, 0.333613, 0.735996, 0.296970, 0.494351
102, 0.491174, 0.000000, 0.313603, 0.000000, 0.296940, 0.482884
103, 0.749754, 0.855908, 0.281281, 0.568473, 0.296910, 0.503501
104, 0.473515, 0.655982, 0.315811, 0.512913, 0.296880, 0.501702
105, 0.480811, 0.000000, 0.314899, 0.000000, 0.296850, 0.484176
106, 0.793357, 0.990634, 0.275830, 0.444069, 0.296820, 0.505661
107, 0.020675, 0.147023, 0.372416, 0.234330, 0.296790, 0.491315
108, 0.285637, 0.000000, 0.339295, 0.000000, 0.296760, 0.480071
109, 0.810236, 0.889581, 0.273721, 0.693281, 0.296730, 0.502609
110, 0.565435, 0.325944, 0.304321, 0.417718, 0.000000, 0.495434
111, 0.008366, 0.212449, 0.373954, 0.355794, 0.296670, 0.488933
112, 0.530138, 0.302562, 0.308733, 0.601723, 0.296640, 0.486274
113, 0.788641, 0.000000, 0.276420, 0.000000, 0.296610, 0.484689
114, 0.039639, 0.502689, 0.370045, 0.505194, 0.296580, 0.499237
115, 0.469405, 0.768031, 0.316324, 0.911588, 0.296550, 0.498504
116, 0.653588, 0.000000, 0.293301, 0.000000, 0.296520, 0.484138
117, 0.626453, 0.187386, 0.296693, 0.307881, 0.296490, 0.489838
118, 0.130644, 0.442490, 0.358670, 0.548897, 0.296460, 0.494863
119, 0.757553, 0.427755, 0.280306, 0.717861, 0.296430, 0.490452
120, 0.619992, 0.326118, 0.297501, 0.432164, 0.000000, 0.494550
121, 0.794140, 0.035368, 0.275732, 0.068062, 0.296370, 0.486030
122, 0.681697, 0.348508, 0.289788, 0.438203, 0.296340, 0.495646
123, 0.602294, 0.357493, 0.299713, 0.477646, 0.296310, 0.493945
124, 0.164181, 0.288772, 0.354477, 0.438010, 0.296280, 0.491172
125, 0.727301, 0.229078, 0.284087, 0.453892, 0.296250, 0.484780
126, 0.284237, 0.368184, 0.339470, 0.471377, 0.296220, 0.494942
127, 0.733937, 0.000000, 0.283258, 0.000000, 0.296190, 0.442974
128, 0.944507, 0.807147, 0.256937, 0.438394, 0.296160, 0.474969
129, 0.057630, 0.073804, 0.367796, 0.117342, 0.296130, 0.450688
130, 0.115908, 0.336090, 0.360511, 0.635823, 0.000000, 0.451827
131, 0.639466, 1.000000, 0.295067, 0.736743, 0.296070, 0.480326
132, 0.377550, 0.070013, 0.327806, 0.129554, 0.296040, 0.446628
133, 0.182787, 0.514787, 0.352152, 0.683326, 0.296010, 0.459052
134, 0.384076, 1.000000, 0.326990, 0.681011, 0.295980, 0.480748
135, 0.721555, 0.607279, 0.284806, 0.709183, 0.295950, 0.463477
136, 0.134918, 0.849826, 0.358135, 0.409895, 0.295920, 0.476930
137, 0.226892, 0.065974, 0.346639, 0.150264, 0.295890, 0.443737
138, 0.872595, 0.774004, 0.265926, 0.790194, 0.295860, 0.470553
139, 0.472152, 0.267504, 0.315981, 0.354977, 0.295830, 0.455333
140, 0.165424, 0.332910, 0.354322, 0.516573, 0.000000, 0.451550
141, 0.713370, 0.000000, 0.285829, 0.000000, 0.295770, 0.442533
142, 0.013686, 0.361250, 0.373289, 0.470868, 0.295740, 0.455782
143, 0.492548, 0.143721, 0.313431, 0.323237, 0.295710, 0.444854
144, 0.037265, 0.639713, 0.370342, 0.654653, 0.295680, 0.465603
145, 0.646104, 0.000000, 0.294237, 0.000000, 0.295650, 0.442057
146, 0.100198, 0.000000, 0.362475, 0.000000, 0.295620, 0.444953
147, 0.563598, 0.392085, 0.304550, 0.691257, 0.295590, 0.453757
148, 0.223524, 0.497399, 0.347060, 0.597544, 0.295560, 0.459230
149, 0.213116, 0.460451, 0.348360, 0.712001, 0.295530, 0.455775
150, 0.901376, 0.333848, 0.262328, 0.589572, 0.000000, 0.451001
151, 0.667843, 0.484743, 0.291520, 0.456118, 0.295470, 0.462141
